company_name,city,segment,website,main_phone,main_email,contact_page_url,faq_url,reklamacie_url,reklamacie_flow_type,chat_signal,platform_guess,support_channel_count,personalization_hook,verified_reklamacie_url,reklamacie_summary,reklamacie_support_pain,reklamacie_complexity,reklamacie_snippet,outreach_subject,outreach_body
AZ-Autodiely s.r.o.,Bratislava,autodiely,http://www.az-autodiely.sk/,03611296093,obchod@az-autodiely.sk,https://az-autodiely.sk/#contact,,https://az-autodiely.sk/wp-content/uploads/2021/11/AZ-Autodiely-RP-2021.pdf,PDF reklamačný poriadok,no,woocommerce,3,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",https://az-autodiely.sk/wp-content/uploads/2021/11/AZ-Autodiely-RP-2021.pdf,vyžaduje PDF alebo stiahnuteľný dokument,PDF/formulárový friction,low,,Krátky nápad k supportu na AZ-Autodiely,"Dobrý deň,

pozeral som AZ-Autodiely a všimol som si, že pri sortimente autodielov ide prirodzene veľa otázok cez telefón a email — kompatibilita, dostupnosť, reklamácie a ďalší postup.

Práve pri takýchto e-shopoch vie dobre fungovať support chat, ktorý odpovie na opakujúce sa otázky a v zložitejších prípadoch zoberie podklady pre človeka namiesto toho, aby všetko išlo ručne.

Pre predstavu, toto je ukážka, na čom teraz robím: [LINK_NA_WEB]

Ak chcete, pošlem vám krátku ukážku, ako by to mohlo fungovať priamo na vašom webe.

Adam"
MADPARTS,Bratislava,autodiely,https://madparts.eu/,+421903566139,info@madparts.eu,https://www.madparts.eu/kontakty,,https://www.madparts.eu/reklamacny-formular,samostatný reklamačný formulár,no,,3,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",https://www.madparts.eu/reklamacny-formular,vyžaduje PDF alebo stiahnuteľný dokument; počítajú s emailovou komunikáciou; pravdepodobne treba priložiť fotky; zákazník musí poslať alebo doručiť tovar; uvádzajú procesné lehoty,"PDF/formulárový friction, emailový back-and-forth, zber príloh od zákazníka, koordinačný load okolo odoslania tovaru",low,"MADPARTS | AUTODIELY BRATISLAVA Menu Ako nakupovať Obchodné podmienky Fotogaléria Kontakty Ochrana osobných udajov Reklamačný formulár Prihlásenie Prihlásenie Email * Heslo * Poslať zabudnuté heslo Prihlásiť sa Zatiaľ nemám účet, chcem sa Registrovať Ďalšie možnosti prihlásenia P",Nápad na zjednodušenie supportu v MADPARTS,"Dobrý deň,

pozeral som váš support a reklamácie v MADPARTS a zvonku to pôsobí ako flow, pri ktorom zákazník musí prejsť viacerými krokmi a support musí veľa vecí dovysvetľovať ručne.

Robíme support vrstvu pre e-shopy, ktorá vie odchytiť opakujúce sa otázky, zobrať podklady k reklamácii a človeku poslať už pripravený prípad.

Pre predstavu, toto je ukážka, na čom teraz robím: [LINK_NA_WEB]

Ak chcete, pošlem vám krátky návrh, ako by sa dal zjednodušiť práve váš support flow.

Adam"
1autodiely.sk/1olej.sk,Košice,autodiely,http://1autodiely.sk/,,,,,,nenašiel som samostatnú reklamačnú stránku,no,,0,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",,reklamačný flow nie je jasne samoobslužný alebo je schovaný v obchodných podmienkach,pravdepodobne manuálne vysvetľovanie postupu zákazníkom,low,,Krátky nápad pre 1autodiely.sk,"Dobrý deň,

pri e-shopoch s autodielmi a olejmi sa často opakujú tie isté otázky — čo sedí, čo je skladom, kedy to príde a čo robiť pri probléme s objednávkou.

Všimol som si, že toto sa dá u vás pravdepodobne lepšie odchytiť priamo na webe cez support chat, ktorý zákazníka nasmeruje alebo zoberie podklady skôr, než všetko skončí na telefóne alebo emaile.

Pre predstavu, toto je ukážka, na čom teraz robím: [LINK_NA_WEB]

Ak chcete, pošlem vám krátku ukážku, ako by to mohlo fungovať konkrétne pre váš web.

Adam"
Ivan Mati - AUTODIELY MG Žilina,Žilina,autodiely,http://framdiely.sk/,02998747676,framautodiely@gmail.com,https://www.framdiely.sk/kontakt/,,,nenašiel som samostatnú reklamačnú stránku,no,woocommerce,3,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",,reklamačný flow nie je jasne samoobslužný alebo je schovaný v obchodných podmienkach,pravdepodobne manuálne vysvetľovanie postupu zákazníkom,low,,Support chat pre predaj autodielov,"Dobrý deň,

pri menších predajcoch autodielov býva častý problém, že veľa opakujúcich sa otázok stále padá priamo na človeka — kompatibilita, sklad, objednávky či reklamácie.

Práve tam vie pomôcť jednoduchý support chat na webe, ktorý odpovie na bežné veci a zložitejšie prípady pripraví pre človeka.

Pre predstavu, toto je ukážka, na čom teraz robím: [LINK_NA_WEB]

Ak chcete, môžem vám poslať krátku ukážku, ako by to mohlo fungovať pre váš web.

Adam"
AUTO-DIELY-ŠPECIÁL,Nitra,autodiely,http://www.dielynitra.sk/,0903720353,,https://www.dielynitra.sk/kontakt,,https://www.dielynitra.sk/zarucne-podmienky-a-reklamacny-poriadok,textová reklamačná stránka,no,,2,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",https://www.dielynitra.sk/zarucne-podmienky-a-reklamacny-poriadok,reklamačný flow nie je jasne samoobslužný alebo je schovaný v obchodných podmienkach,pravdepodobne manuálne vysvetľovanie postupu zákazníkom,low,Záručné podmienky a reklamačný poriadok Úvod Ponuka autodielov Servis - oprava Konštrukcia a diagnostika štartovacích autobatérií Základné informácie o motorových olejoch Základné informácie o pneumatikách Ako sa starať o akumulátor Funkcie motorového oleja Predaj - na objednávku,Nápad na support pre AUTO-DIELY-ŠPECIÁL,"Dobrý deň,

pozeral som váš web a pri autodieloch je typické, že zákazníci často potrebujú dovysvetliť ďalší krok — či už pri výbere dielu, objednávke alebo reklamácii.

My robíme support vrstvu pre e-shopy, ktorá tieto opakujúce sa otázky odchytí cez chat a v prípade potreby zoberie podklady a pošle ich človeku už v pripravenej forme.

Pre predstavu, toto je ukážka, na čom teraz robím: [LINK_NA_WEB]

Ak chcete, rád vám pošlem krátky návrh, čo by sa dalo spraviť aj u vás.

Adam"
AUTOBIZNIS.sk,Trenčín,autodiely,http://www.autobiznis.sk/,0205122433,info@autobiznis.sk,https://autobiz.flox.sk/info,,,nenašiel som samostatnú reklamačnú stránku,no,,3,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",,reklamačný flow nie je jasne samoobslužný alebo je schovaný v obchodných podmienkach,pravdepodobne manuálne vysvetľovanie postupu zákazníkom,low,,Krátky nápad pre support na AUTOBIZNIS.sk,"Dobrý deň,

pozeral som AUTOBIZNIS.sk a pri takomto sortimente býva veľa otázok ešte pred samotnou objednávkou — výber, kompatibilita, dostupnosť a doručenie.

Práve preto dáva zmysel mať na webe support chat, ktorý vie odpovedať na bežné otázky a odchytiť support skôr, než všetko ide ručne cez telefón a email.

Pre predstavu, toto je ukážka, na čom teraz robím: [LINK_NA_WEB]

Ak chcete, pošlem vám krátku ukážku, ako by to mohlo fungovať priamo pre vás.

Adam"
AUTODIELYBB,Banská Bystrica,autodiely,http://www.autodielybb.sk/,020453006,info@autodielybb.sk,https://www.autodielybb.sk/kontakty/,,https://www.autodielybb.sk/reklamacny-poriadok/,textová reklamačná stránka,yes,woocommerce,4,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",https://www.autodielybb.sk/reklamacny-poriadok/,má formulárový flow; počítajú s emailovou komunikáciou; pravdepodobne treba priložiť fotky; zákazník musí poslať alebo doručiť tovar; uvádzajú procesné lehoty,"emailový back-and-forth, zber príloh od zákazníka, koordinačný load okolo odoslania tovaru, viackrokový proces",high,Reklamačný poriadok Menu TotalEnergies Oleje a mazivá Mazací plán LubAdvisor LubAnac Staňte sa našim partnerom Motul Oleje a mazivá MOTUL Evo GEN2+ Motul mazací plán Staňte sa našim partnerom Mannol Produkty Mazací plán Mannol Staňte sa našim partnerom Sangsin Brake Prečo Sangsin,Vidím priestor na zjednodušenie support flowu,"Dobrý deň,

pozeral som váš support flow a zvonku to pôsobí tak, že reklamácie a support už majú viac krokov, viac podkladov a dosť manuálneho spracovania.

Tu by podľa mňa nedával zmysel len obyčajný chat, ale skôr support copilot, ktorý zákazníkovi vysvetlí postup, vypýta si podklady a človeku pošle už pripravený prípad.

Pre predstavu, toto je ukážka, na čom teraz robím: [LINK_NA_WEB]

Ak chcete, pošlem vám krátky návrh, kde by sa to dalo nasadiť najrýchlejšie.

Adam"
Autosúčiastky Tomáš,Prešov,autodiely,https://www.azet.sk/firma/97570/autosuciastky-tomas-s-r-o/,05165880458,stefan.tluscak@gmail.com,https://www.azet.sk/firma/97570/autosuciastky-tomas-s-r-o/#kontakty,https://pomoc.azet.sk/,https://reklama.ringier.sk,nejasné / nenašlo sa,no,,4,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",https://reklama.ringier.sk,vyžaduje PDF alebo stiahnuteľný dokument,PDF/formulárový friction,low,"reklamne formaty Bannery NatÃ­vna reklama a PR Audio a video PortfÃ³lio Kontakty ReklamnÃ© formÃ¡ty Ringier Media Slovakia Oslovte cez nÃ¡s svojich zÃ¡kaznÃ­kov v prostredÃ­, ktorÃ© radi navÅ¡tevujÃº. Sme digitÃ¡lnym lÃ­drom s novinÃ¡rskymi koreÅmi a denne makÃ¡me na naÅ¡ich por",Jednoduchý support upgrade pre predaj autodielov,"Dobrý deň,

pri predaji autodielov sa stále opakujú podobné otázky — sedí to na moje auto, je to skladom, kedy to príde a čo robiť pri reklamácii.

Takéto veci sa dajú veľmi dobre odchytiť cez jednoduchý support chat na webe, aby ich nemusel vždy riešiť človek cez telefonát alebo email.

Pre predstavu, toto je ukážka, na čom teraz robím: [LINK_NA_WEB]

Ak chcete, môžem vám poslať krátku ukážku, ako by to vyzeralo pre váš web.

Adam"
AZ-pneu.sk,Bratislava,pneu,http://www.az-pneu.sk/,+421268206080,objednavky@az-pneu.sk,https://www.az-pneu.sk/kontakt,https://www.az-pneu.sk/caste-otazky,,nenašiel som samostatnú reklamačnú stránku,no,woocommerce,4,"Sezónny nápor na hovory okolo rozmerov, dostupnosti a termínov.",,reklamačný flow nie je jasne samoobslužný alebo je schovaný v obchodných podmienkach,pravdepodobne manuálne vysvetľovanie postupu zákazníkom,low,,Support chat pre AZ-pneu.sk,"Dobrý deň,

pri pneumatikách sa sezónne opakujú tie isté otázky — rozmer, dostupnosť, termín, ďalší krok, reklamácia alebo výmena.

Práve tu by dával zmysel support chat na webe, ktorý tieto otázky odchytí a zákazníka nasmeruje skôr, než všetko skončí na telefóne.

Pre predstavu, toto je ukážka, na čom teraz robím: [LINK_NA_WEB]

Ak chcete, pošlem vám krátku ukážku, ako by sa to dalo spraviť pre AZ-pneu.

Adam"
PNEUSYSTEM TT s.r.o.,Trnava,pneu,http://www.pneutt.sk/,0335511692,posta@pneutt.sk,https://www.pneutt.sk/#!/kontakt,,,nenašiel som samostatnú reklamačnú stránku,no,woocommerce,3,"Sezónny nápor na hovory okolo rozmerov, dostupnosti a termínov.",,reklamačný flow nie je jasne samoobslužný alebo je schovaný v obchodných podmienkach,pravdepodobne manuálne vysvetľovanie postupu zákazníkom,low,,Krátky nápad pre support na PNEUSYSTEM TT,"Dobrý deň,

pneumatiky a pneuservis sú typický segment, v ktorom sa veľa otázok opakuje dokola — rozmer, sklad, termín, ďalší postup, servis alebo reklamácia.

Práve preto vie byť veľmi užitočný jednoduchý support chat, ktorý odpovie na rutinné otázky a zložitejšie prípady pripraví pre človeka.

Pre predstavu, toto je ukážka, na čom teraz robím: [LINK_NA_WEB]

Ak chcete, môžem poslať krátku a konkrétnu ukážku aj pre váš web.

Adam"
