title,placeUrl,website,rating,reviewCount,address,phoneNumber,email,company,city,personal_opener,subject_1,subject_2,subject_3,email_1,followup_1,followup_2,segment
Coimex Lufthansa City Center,https://www.google.com/maps/place/Coimex+Lufthansa+City+Center/data=!4m10!3m9!1s0x476c89453de5471f:0xf7a0bd7ded577b08!5m2!4m1!1i2!8m2!3d48.1498755!4d17.1095057!16s%2Fg%2F1vp6y_3x!19sChIJH0flPUWJbEcRCHtX7X29oPc,,,,"Vysoká 4270/35, 811 06 Bratislava - Staré Mesto-Staré Mesto, Slovakia",+421 2/326 052 22,,Coimex Lufthansa City Center,Bratislava,"Narazil som na Coimex Lufthansa City Center v Bratislava a zaujalo ma, že veľa hostí rieši otázky ešte pred príchodom (check-in, parkovanie, dostupnosť).",Coimex Lufthansa City Center: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Coimex Lufthansa City Center,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Narazil som na Coimex Lufthansa City Center v Bratislava a zaujalo ma, že veľa hostí rieši otázky ešte pred príchodom (check-in, parkovanie, dostupnosť).

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Coimex Lufthansa City Center. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Coimex Lufthansa City Center

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Coimex Lufthansa City Center.

— Adam","Subject: Coimex Lufthansa City Center: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Coimex Lufthansa City Center (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
REVON Art - deco apartment Laurinska,https://www.google.com/maps/place/REVON+Art+-+deco+apartment+Laurinska/data=!4m10!3m9!1s0x476c895d324510c7:0xc9a81500e8906c10!5m2!4m1!1i2!8m2!3d48.1440821!4d17.1121088!16s%2Fg%2F11l6zw78k8!19sChIJxxBFMl2JbEcREGyQ6AAVqMk,http://www.revon.sk/,5.0,1.0,"Námestie SNP 19, 811 01 Bratislava, Slovakia",+421 902 904 970,revon.sro@gmail.com,REVON Art - deco apartment Laurinska,Bratislava,"Všimol som si REVON Art - deco apartment Laurinska v Bratislava – máte hodnotenie 5.0 (1 recenzií), pekný signál, že máte dobrý servis.",REVON Art - deco apartment Laurinska: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v REVON Art - deco apartment Laurinska,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si REVON Art - deco apartment Laurinska v Bratislava – máte hodnotenie 5.0 (1 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre REVON Art - deco apartment Laurinska. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: REVON Art - deco apartment Laurinska

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre REVON Art - deco apartment Laurinska.

— Adam","Subject: REVON Art - deco apartment Laurinska: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre REVON Art - deco apartment Laurinska (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Einsteinova UFO Bridge,https://www.google.com/maps/place/Einsteinova+UFO+Bridge/data=!4m10!3m9!1s0x476c89006adf487f:0x5e1e39bb026ab63e!5m2!4m1!1i2!8m2!3d48.1262606!4d17.0990117!16s%2Fg%2F11y19h1zwj!19sChIJf0jfagCJbEcRPrZqArs5Hl4,,1.0,2.0,"Gercenova 3709/4, 851 01 Petržalka, Slovakia",,,Einsteinova UFO Bridge,Petržalka,"Všimol som si Einsteinova UFO Bridge v Petržalka – máte hodnotenie 1.0 (2 recenzií), pekný signál, že máte dobrý servis.",Einsteinova UFO Bridge: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Einsteinova UFO Bridge,Petržalka: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Einsteinova UFO Bridge v Petržalka – máte hodnotenie 1.0 (2 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Einsteinova UFO Bridge. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Einsteinova UFO Bridge

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Einsteinova UFO Bridge.

— Adam","Subject: Einsteinova UFO Bridge: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Einsteinova UFO Bridge (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Ikaros Hotel,https://www.google.com/maps/place/Ikaros+Hotel/data=!4m10!3m9!1s0x476c8f15be673873:0xd32026a3538da37c!5m2!4m1!1i2!8m2!3d48.1706027!4d17.1920379!16s%2Fg%2F11wpsh5l9_!19sChIJczhnvhWPbEcRfKONU6MmINM,,4.6,5.0,"820 01 Bratislava, Slovakia",,,Ikaros Hotel,Bratislava,"Všimol som si Ikaros Hotel v Bratislava – máte hodnotenie 4.6 (5 recenzií), pekný signál, že máte dobrý servis.",Ikaros Hotel: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Ikaros Hotel,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Ikaros Hotel v Bratislava – máte hodnotenie 4.6 (5 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Ikaros Hotel. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Ikaros Hotel

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Ikaros Hotel.

— Adam","Subject: Ikaros Hotel: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Ikaros Hotel (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
"Cozy, Brighton room with free parking","https://www.google.com/maps/place/Cozy,+Brighton+room+with+free+parking/data=!4m10!3m9!1s0x476c87057f1aa099:0xa5ee44c0315ea674!5m2!4m1!1i2!8m2!3d48.1361307!4d17.206367!16s%2Fg%2F11vj3zsn36!19sChIJmaAafwWHbEcRdKZeMcBE7qU",http://booking.com/,4.8,6.0,"Toryská 5058/23, 821 07 Bratislava, Slovakia",+421 910 504 034,,"Cozy, Brighton room with free parking",Bratislava,"Všimol som si Cozy, Brighton room with free parking v Bratislava – máte hodnotenie 4.8 (6 recenzií), pekný signál, že máte dobrý servis.","Cozy, Brighton room with free parking: menej zmeškaných rezervácií (AI recepcia)","Krátka otázka k recepcii v Cozy, Brighton room with free parking",Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Cozy, Brighton room with free parking v Bratislava – máte hodnotenie 4.8 (6 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Cozy, Brighton room with free parking. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Cozy, Brighton room with free parking

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Cozy, Brighton room with free parking.

— Adam","Subject: Cozy, Brighton room with free parking: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Cozy, Brighton room with free parking (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Garage Vysoka (AC Hotel),https://www.google.com/maps/place/Garage+Vysoka+%28AC+Hotel%29/data=!4m7!3m6!1s0x476c89360882f059:0xb28da830ffcd9681!8m2!3d48.1484454!4d17.1095864!16s%2Fg%2F11ns11bpgq!19sChIJWfCCCDaJbEcRgZbN_zCojbI,http://acbratislava.com/,4.4,7.0,"Vysoká 4273/4, 811 06 Bratislava, Slovakia",+421 2/200 200 00,,Garage Vysoka (AC Hotel),Bratislava,"Všimol som si Garage Vysoka (AC Hotel) v Bratislava – máte hodnotenie 4.4 (7 recenzií), pekný signál, že máte dobrý servis.",Garage Vysoka (AC Hotel): menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Garage Vysoka (AC Hotel),Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Garage Vysoka (AC Hotel) v Bratislava – máte hodnotenie 4.4 (7 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Garage Vysoka (AC Hotel). 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Garage Vysoka (AC Hotel)

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Garage Vysoka (AC Hotel).

— Adam","Subject: Garage Vysoka (AC Hotel): 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Garage Vysoka (AC Hotel) (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Gremium apartments,https://www.google.com/maps/place/Gremium+apartments/data=!4m10!3m9!1s0x476c897f0ceebea1:0x91b44dd476a11e0c!5m2!4m1!1i2!8m2!3d48.1432451!4d17.1114502!16s%2Fg%2F11mckc21nt!19sChIJob7uDH-JbEcRDB6hdtRNtJE,https://gremiumapartments.sk/,4.0,8.0,"Gorkého 201/11, 811 01 Staré Mesto, Slovakia",+421 905 747 356,,Gremium apartments,Staré Mesto,"Všimol som si Gremium apartments v Staré Mesto – máte hodnotenie 4.0 (8 recenzií), pekný signál, že máte dobrý servis.",Gremium apartments: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Gremium apartments,Staré Mesto: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Gremium apartments v Staré Mesto – máte hodnotenie 4.0 (8 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Gremium apartments. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Gremium apartments

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Gremium apartments.

— Adam","Subject: Gremium apartments: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Gremium apartments (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Optimum Devinska,https://www.google.com/maps/place/Optimum+Devinska/data=!4m10!3m9!1s0x476cf3417223ff27:0x472210ae48b5d944!5m2!4m1!1i2!8m2!3d48.2039258!4d16.9978237!16s%2Fg%2F11vf6sv254!19sChIJJ_8jckHzbEcRRNm1SK4QIkc,,4.1,14.0,"Vápenka 5939/841 07, 841 07 Devínska Nová Ves, Slovakia",,,Optimum Devinska,Devínska Nová Ves,"Všimol som si Optimum Devinska v Devínska Nová Ves – máte hodnotenie 4.1 (14 recenzií), pekný signál, že máte dobrý servis.",Optimum Devinska: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Optimum Devinska,Devínska Nová Ves: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Optimum Devinska v Devínska Nová Ves – máte hodnotenie 4.1 (14 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Optimum Devinska. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Optimum Devinska

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Optimum Devinska.

— Adam","Subject: Optimum Devinska: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Optimum Devinska (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Zen Zone Hostel,https://www.google.com/maps/place/Zen+Zone+Hostel/data=!4m10!3m9!1s0x476c8b0041d4e9bd:0x4688ed540ecd825c!5m2!4m1!1i2!8m2!3d48.1527741!4d17.0883335!16s%2Fg%2F11lnplrp24!19sChIJvenUQQCLbEcRXILNDlTtiEY,,3.5,26.0,"Na Hrebienku 30, 811 02 Bratislava, Slovakia",+421 911 729 316,,Zen Zone Hostel,Bratislava,"Všimol som si Zen Zone Hostel v Bratislava – máte hodnotenie 3.5 (26 recenzií), pekný signál, že máte dobrý servis.",Zen Zone Hostel: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Zen Zone Hostel,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Zen Zone Hostel v Bratislava – máte hodnotenie 3.5 (26 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Zen Zone Hostel. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Zen Zone Hostel

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Zen Zone Hostel.

— Adam","Subject: Zen Zone Hostel: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Zen Zone Hostel (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
Best view apartment,https://www.google.com/maps/place/Best+view+apartment/data=!4m10!3m9!1s0x476c8943328c0a53:0x671acc6a6ad1e7ec!5m2!4m1!1i2!8m2!3d48.14429!4d17.1082834!16s%2Fg%2F11fzq192wc!19sChIJUwqMMkOJbEcR7OfRamrMGmc,,4.5,27.0,"Františkánske námestie 3, 811 01 Bratislava, Slovakia",+421 903 958 690,,Best view apartment,Bratislava,"Všimol som si Best view apartment v Bratislava – máte hodnotenie 4.5 (27 recenzií), pekný signál, že máte dobrý servis.",Best view apartment: menej zmeškaných rezervácií (AI recepcia),Krátka otázka k recepcii v Best view apartment,Bratislava: riešite hovory aj mimo služby?,"Ahoj,
Všimol som si Best view apartment v Bratislava – máte hodnotenie 4.5 (27 recenzií), pekný signál, že máte dobrý servis.

Pomáham ubytovaniam nasadiť AI recepciu, ktorá:
- zdvihne telefón / odpovie na správy 24/7 (SK/EN),
- vybaví typické otázky (dostupnosť, check‑in/out, parkovanie, platby),
- a keď ide o niečo špeciálne, prepojí to na človeka alebo pošle prehľad do emailu/WhatsAppu.

Zmysel je jednoduchý: menej zmeškaných hovorov = viac rezervácií a pokojnejšia recepcia.

Ak chcete, pripravím 30‑sekundovú ukážku “ako by to znelo” priamo pre Best view apartment. 
Stačí mi napísať, či je u vás väčší problém telefón alebo správy.

— Adam","Subject: Re: Best view apartment

Ahoj,
len krátky bump: ak by AI recepcia riešila jednu vec najlepšie, bola by to u vás skôr
1) večer/nočné hovory, alebo
2) špičky cez deň?

Odpoveď jedným číslom mi stačí a podľa toho pripravím mini‑ukážku pre Best view apartment.

— Adam","Subject: Best view apartment: 3 otázky, ktoré sa dajú automatizovať

Ahoj,
u ubytovaní sa dokola opakujú tie isté veci: dostupnosť/cena, check‑in pravidlá a parkovanie. 
AI recepcia to vie odpovedať hneď, konzistentne, a recepcii pošle len “výnimky”.

Chcete ukážku scenára pre Best view apartment (SK/EN) + návrh odpovedí na FAQ?

— Adam",hotel
