title,placeUrl,website,rating,reviewCount,address,phoneNumber,oslovenie,poznamka,email,owner_info,custom_insight,company,city,personal_opener,subject_1,subject_2,subject_3,email_1,followup_1,followup_2,segment
Centrum mikroskopickej stomatológie,https://www.google.com/maps/place/Centrum+mikroskopickej+stomatol%C3%B3gie/data=!4m7!3m6!1s0x476c88cd063f2df3:0x6234ecb296586197!8m2!3d48.1454863!4d17.1779595!16s%2Fg%2F1tmkjs5k!19sChIJ8y0_Bs2IbEcRl2FYlrLsNGI,http://www.cmsdent.sk/,50,1,"Hrachová 16698, 821 05 Bratislava, Slovensko",+421 2/434 270 17,checked,,,,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.",Centrum mikroskopickej stomatológie,Bratislava,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.","Centrum mikroskopickej stomatológie: menej telefonátov, viac času na výkon",AI recepcia pre Centrum mikroskopickej stomatológie – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Centrum mikroskopickej stomatológie. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Centrum mikroskopickej stomatológie

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Centrum mikroskopickej stomatológie – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Centrum mikroskopickej stomatológie: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
KRASNODENT BRATISLAVA - Estetická zubná klinika,https://www.google.com/maps/place/KRASNODENT+BRATISLAVA+-+Estetick%C3%A1+zubn%C3%A1+klinika/data=!4m7!3m6!1s0x476c63a04aa4b2db:0x4be9070019764326!8m2!3d48.0706838!4d17.1186958!16s%2Fg%2F11wy30q_dg!19sChIJ27KkSqBjbEcRJkN2GQAH6Us,https://www.krasnodent.com/,50,1,"Smaragdová 7, 851 10 Jarovce, Slovensko",+421 918 104 222,,,,,,KRASNODENT BRATISLAVA - Estetická zubná klinika,Jarovce,"Narazil som na KRASNODENT BRATISLAVA - Estetická zubná klinika v Jarovce – hodnotenie 50.0 (1 recenzií) naznačuje, že pacienti sú spokojní.","KRASNODENT BRATISLAVA - Estetická zubná klinika: menej telefonátov, viac času na výkon",AI recepcia pre KRASNODENT BRATISLAVA - Estetická zubná klinika – rýchla otázka,Jarovce: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na KRASNODENT BRATISLAVA - Estetická zubná klinika v Jarovce – hodnotenie 50.0 (1 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za KRASNODENT BRATISLAVA - Estetická zubná klinika. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: KRASNODENT BRATISLAVA - Estetická zubná klinika

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: KRASNODENT BRATISLAVA - Estetická zubná klinika – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre KRASNODENT BRATISLAVA - Estetická zubná klinika: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Smile Dent Bratislava - Zubná klinika,https://www.google.com/maps/place/Smile+Dent+Bratislava+-+Zubn%C3%A1+klinika/data=!4m7!3m6!1s0x476c89bbb7128fed:0x5a18850d737e9f18!8m2!3d48.1588443!4d17.1154098!16s%2Fg%2F11mm49bdyk!19sChIJ7Y8St7uJbEcRGJ9-cw2FGFo,,50,1,"Čajakova 4077/25, 811 05 Bratislava, Slovensko",+421 940 869 651,,,,,,Smile Dent Bratislava,Bratislava,"Narazil som na Smile Dent Bratislava v Bratislava – hodnotenie 50.0 (1 recenzií) naznačuje, že pacienti sú spokojní.","Smile Dent Bratislava: menej telefonátov, viac času na výkon",AI recepcia pre Smile Dent Bratislava – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na Smile Dent Bratislava v Bratislava – hodnotenie 50.0 (1 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Smile Dent Bratislava. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Smile Dent Bratislava

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Smile Dent Bratislava – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Smile Dent Bratislava: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Dr.Gabalec - Zubná ambulancia,https://www.google.com/maps/place/Dr.Gabalec+-+Zubn%C3%A1+ambulancia/data=!4m7!3m6!1s0x476c8bf428b3d655:0x22e76de0ca0baa60!8m2!3d48.1537002!4d17.0610606!16s%2Fg%2F11mkgjzztk!19sChIJVdazKPSLbEcRYKoLyuBt5yI,https://drgabalec.sk/,50,3,"Líščie údolie 98/57, 842 31 Karlova Ves, Slovensko",+421 948 733 669,,,info@drgabalec.sk,MDDr. Juraj Gabalec,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.",Dr.Gabalec,Karlova Ves,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.","Dr.Gabalec: menej telefonátov, viac času na výkon",AI recepcia pre Dr.Gabalec – rýchla otázka,Karlova Ves: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň Juraj,
Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Dr.Gabalec. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Dr.Gabalec

Dobrý deň Juraj,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Dr.Gabalec – mini ukážka bez záväzku

Dobrý deň Juraj,
viem spraviť 30‑sekundovú ukážku presne pre Dr.Gabalec: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Stomaklinik,https://www.google.com/maps/place/Stomaklinik/data=!4m7!3m6!1s0x476c8eb6992199d7:0xd0cfbb0b540a1bf!8m2!3d48.1638495!4d17.1293639!16s%2Fg%2F11bzx2zds_!19sChIJ15khmbaObEcRv6FAtbD7DA0,http://www.stomaklinik.sk/,50,3,"24, Tehelná 235, 831 03 Bratislava, Slovensko",+421 905 486 395,,,stomaklinik@stomaklinik.sk,,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.",Stomaklinik,Bratislava,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.","Stomaklinik: menej telefonátov, viac času na výkon",AI recepcia pre Stomaklinik – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Stomaklinik. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Stomaklinik

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Stomaklinik – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Stomaklinik: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
One Day Teeth s.r.o.,https://www.google.com/maps/place/One+Day+Teeth+s.r.o./data=!4m7!3m6!1s0x476c8db7e409024b:0xa17cf47b228e929e!8m2!3d48.1718704!4d17.1266874!16s%2Fg%2F11h46184rm!19sChIJSwIJ5LeNbEcRnpKOInv0fKE,,34,5,"Račianska 77, 831 01 Bratislava, Slovensko",+421 907 709 992,,,,,,One Day Teeth s.r.o.,Bratislava,"Narazil som na One Day Teeth s.r.o. v Bratislava – hodnotenie 34.0 (5 recenzií) naznačuje, že pacienti sú spokojní.","One Day Teeth s.r.o.: menej telefonátov, viac času na výkon",AI recepcia pre One Day Teeth s.r.o. – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Narazil som na One Day Teeth s.r.o. v Bratislava – hodnotenie 34.0 (5 recenzií) naznačuje, že pacienti sú spokojní.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za One Day Teeth s.r.o.. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: One Day Teeth s.r.o.

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: One Day Teeth s.r.o. – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre One Day Teeth s.r.o.: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Stomatológia Dental Bratislava - INTERKLINIK,https://www.google.com/maps/place/Stomatol%C3%B3gia+Dental+Bratislava+-+INTERKLINIK/data=!4m7!3m6!1s0x476c8923a84adc01:0x7b7fc0fbca8c6844!8m2!3d48.1308993!4d17.1152125!16s%2Fg%2F11h3gpwhp1!19sChIJAdxKqCOJbEcRRGiMyvvAf3s,https://www.interklinik.sk/oddelenie/stomatologia/,50,6,"Einsteinova 7, 851 01 Petržalka, Slovensko",+421 2/682 309 30,,,interklinik.skinterklinik@interklinik.sk,MUDr. Mária Vandová,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.",Stomatológia Dental Bratislava - INTERKLINIK,Petržalka,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.","Stomatológia Dental Bratislava - INTERKLINIK: menej telefonátov, viac času na výkon",AI recepcia pre Stomatológia Dental Bratislava - INTERKLINIK – rýchla otázka,Petržalka: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň Mária,
Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Stomatológia Dental Bratislava - INTERKLINIK. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Stomatológia Dental Bratislava - INTERKLINIK

Dobrý deň Mária,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Stomatológia Dental Bratislava - INTERKLINIK – mini ukážka bez záväzku

Dobrý deň Mária,
viem spraviť 30‑sekundovú ukážku presne pre Stomatológia Dental Bratislava - INTERKLINIK: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
Nobeldent,https://www.google.com/maps/place/Nobeldent/data=!4m7!3m6!1s0x476c8971ccc74207:0x207f6a6237dc7a7a!8m2!3d48.1474326!4d17.0999583!16s%2Fg%2F11shcwnf81!19sChIJB0LHzHGJbEcRenrcN2JqfyA,http://www.nobeldent.sk/,50,6,"Palisády 29/A, 811 06 Bratislava, Slovensko",+421 911 500 146,,,nobeldent@nobeldent.sk,,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.",Nobeldent,Bratislava,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.","Nobeldent: menej telefonátov, viac času na výkon",AI recepcia pre Nobeldent – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za Nobeldent. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: Nobeldent

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: Nobeldent – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre Nobeldent: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
DAX dentálne centrum,https://www.google.com/maps/place/DAX+dent%C3%A1lne+centrum/data=!4m7!3m6!1s0x476c89519f82155f:0x30f6e1f20565c1a7!8m2!3d48.1547914!4d17.1109602!16s%2Fg%2F11dflffw6c!19sChIJXxWCn1GJbEcRp8FlBfLh9jA,http://www.daxdental.sk/,50,7,"Kýčerského 7028/2, 811 05 Bratislava, Slovensko",+421 2/207 869 17,,,daxdental@daxdental.sk,,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.",DAX dentálne centrum,Bratislava,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.","DAX dentálne centrum: menej telefonátov, viac času na výkon",AI recepcia pre DAX dentálne centrum – rýchla otázka,Bratislava: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za DAX dentálne centrum. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: DAX dentálne centrum

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: DAX dentálne centrum – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre DAX dentálne centrum: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
ALFA DENT - Ružinov,https://www.google.com/maps/place/ALFA+DENT+-+Ru%C5%BEinov/data=!4m7!3m6!1s0x476c8f7987458d2b:0x71823013486f2c62!8m2!3d48.159662!4d17.1557298!16s%2Fg%2F11rn0q3z61!19sChIJK41Fh3mPbEcRYixvSBMwgnE,http://www.alfadent.sk/,49,9,"Herlianska 45, 821 03 Ružinov, Slovensko",+421 918 379 787,,,alfa3dent@gmail.com,,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.",ALFA DENT - Ružinov,Ružinov,"Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.","ALFA DENT - Ružinov: menej telefonátov, viac času na výkon",AI recepcia pre ALFA DENT - Ružinov – rýchla otázka,Ružinov: objednávanie pacientov bez neustáleho zdvíhania?,"Dobrý deň,
Všimol som si vaše zameranie na modernú stomatológiu, ale proces objednávania sa zdá byť stále viazaný na obmedzené ordinačné hodiny.

Robím AI recepciu pre ambulancie, ktorá odľahčí tímu telefóny a správy:
- objedná / preobjedná termíny (alebo aspoň predvyplní požiadavku),
- odpovie na časté otázky (cenník, urgent, parkovanie, príprava na zákrok),
- a keď treba, presne odovzdá kontext sestričke/recepcii.

Cieľ: menej prerušovania práce + rýchlejšie vybavenie pacientov.

Ak chcete, pošlem krátke demo (text alebo hlas), ako by AI komunikovala za ALFA DENT - Ružinov. 
Je pre vás väčšia bolesť telefón alebo správy?

— Adam","Subject: Re: ALFA DENT - Ružinov

Dobrý deň,
len bump: ak by AI recepcia vyriešila jednu vec, čo by to bolo skôr?
1) objednávanie/preobjednávanie termínov, alebo
2) odpovedanie na opakované otázky pacientov?

Odpoveď “1” alebo “2” mi stačí.

— Adam","Subject: ALFA DENT - Ružinov – mini ukážka bez záväzku

Dobrý deň,
viem spraviť 30‑sekundovú ukážku presne pre ALFA DENT - Ružinov: ako by AI zobrala hovor, zistila dôvod, navrhla termín a odovzdala to tímu.

Ak to nie je téma, stačí napísať “stop” a už nebudem pingovať.

— Adam",dentist
