company_name,city,segment,address,rating,review_count,types,mode,priority,pain_hypothesis,notes,place_id,website,phone,google_maps_url,opening_hours,review_snippet_1,review_snippet_2,web_phone,web_email,contact_page_url,faq_url,reklamacie_url,chat_signal,platform_guess,has_cart,has_contact_page,has_faq,has_reklamacie,support_channel_count
GAFA AUTO Bratislava,Bratislava,autodiely,"Stará Prievozská 1349/2, 821 09 Bratislava, Slovakia",4.8,646,auto_parts_store|market|car_repair|point_of_interest|store|service|establishment,mixed,A,"High inbound support around part compatibility, availability, and order questions.",Strong local presence; likely meaningful support volume.,ChIJ-6eJAbuJbEcRlRzzmIvyKeo,http://www.gafaauto.sk/,,,,Do you have 24 v small to large din cigrate plug with 20amps output,Very good! Usually it is possible to pick-up the order the next working day. The guys in the shop are friendly and always here to help. I appreciate also the -10% discount if I reach the premium membership.,07328185533 | 062-556657 | +4210432220202,info@gafaauto.sk | tovar@autodielygafa.sk | velkoobchod@autodielygafa.sk,https://www.autodielygafa.sk/Home/Contact,https://www.autodielygafa.sk/categories/ochranne-pomocky-a-oblecenie-116875,https://www.autodielygafa.sk/Home/Page/refund,no,,yes,yes,yes,yes,3
AZ-Autodiely s.r.o.,Bratislava,autodiely,"Cyprichova 2475/12, 831 54 Bratislava-Rača, Slovakia",4.7,69,auto_parts_store|car_repair|point_of_interest|store|service|establishment,phone-heavy,A,Phone load likely driven by compatibility checks and quick availability questions.,Smaller local operator; good closability.,ChIJQzcl9oiObEcRHh-0C62v9XU,http://www.az-autodiely.sk/,,,,Helpful staff and good prices. They helped us to put windshields on our car.,Very good store. And costumer support. 👍👌,03611296093 | +421903411401 | 0903411401,obchod@az-autodiely.sk,https://az-autodiely.sk/#contact,,https://az-autodiely.sk/wp-content/uploads/2021/11/AZ-Autodiely-RP-2021.pdf,no,woocommerce,yes,yes,no,yes,3
AUTOBENEX - Auto Parts Bratislava,Bratislava,autodiely,"Nová Rožňavská 5, 831 04 Bratislava-Nové Mesto, Slovakia",4.8,17,auto_parts_store|car_repair|point_of_interest|store|service|establishment,phone-heavy,A,Small-team support likely depends on humans answering calls and handling edge-case part requests.,Low review count but strong fit for owner-led outreach.,ChIJ0-vnmNyObEcRmQSQbTOjaZc,http://www.autobenex.sk/,,,,"I mainly needed advice, and to buy. I was very pleasantly surprised. Despite the great busyness that I noticed, I was provided with a professional approach to complete details. Finally, a seller who values ​​the customer","Always willing to advise, good prices and fast delivery even in case of an order. And what I appreciate most - the customer is welcome. I highly recommend.",077704052 | +421 376 517 722 | +421 918 897 587,nitra@autobenex.sk | trencin@autobenex.sk | zvolen@autobenex.sk,http://www.autobenex.sk/kontakty.html,,,no,,no,yes,no,no,3
MADPARTS,Bratislava,autodiely,"Račianska 2397/100, 831 54 Bratislava, Slovakia",4.7,146,auto_parts_store|car_repair|point_of_interest|store|service|establishment,mixed,A,"Likely repetitive support across fitment, delivery timing, and returns.",Enough scale for pain without being obviously enterprise.,ChIJtSa06I-ObEcRQR3r5POUm_I,https://madparts.eu/,,,,Purchased a helmet spoiler for my AGV Pista and they didn’t send my order for 5 days so I contacted them and they said it’s on back order. No where on the site did it say anything about being out of stock. And just ghost,I was here first time and planning to return after great service. Personal is very friendly and helps with smile 😊 great car parts shop.,+421903566139 | +421 903 566 139 | 033260-1493,info@madparts.eu | example@example.com,https://www.madparts.eu/kontakty,,https://www.madparts.eu/reklamacny-formular,no,,yes,yes,no,yes,3
Q-PARTS - AMSA s.r.o.,Bratislava,autodiely,"Kopčianska 20, 851 01 Bratislava-Petržalka, Slovakia",4.6,183,auto_parts_store|car_repair|building_materials_store|point_of_interest|wholesaler|store|service|establishment,mixed,A,Broader assortment likely creates more support tickets and phone questions.,Candidate for mixed phone/email support.,ChIJvY2wipyJbEcRbskVupg1g3k,https://q-parts.sk/,,,,Fast delivery. Good prices. I chose this store mainly because of their convenient website where you can choose specific parts according to your car model,"Broad range of car parts. Orders usually fulfilled within 48 hours, many are ready for pickup within 24 hours. Own store in Petržalka. Parking lot available. Staff is helpful and offers consulting.",073044761 | 050781-133 | 098508451,info@q-parts.sk,https://q-parts.sk/kamenna-predajna-kontakty-navigacia,https://q-parts.sk/ochranne-pracovne-pomocky,,no,,yes,yes,yes,no,3
Autorelax s.r.o.,Bratislava,auto-prislusenstvo,"39, Račianska 1511, 831 02 Bratislava-Nové Mesto, Slovakia",4.7,228,auto_parts_store|car_repair|point_of_interest|store|service|establishment,mixed,B,"Support likely includes accessory fit, stock checks, and post-purchase questions.",Useful broader auto retail candidate.,ChIJIVpeW0uJbEcRGpg5HrgvxbI,https://www.autorelax.sk/,,,,"I couldn’t recommend this shop more! The owner (I assumed) was super helpful, knowledgeable and simply a nice person. The shop is well-stocked, we chose our bike roof holders on a website (on the pc in the shop, with hel",Small car supplements shop,022691143,obchod@autorelax.sk,https://www.autorelax.sk/kontakt,,,no,,yes,yes,no,no,3
AutoSave,Košice,autodiely,"Študentská 274/1, 040 01 Košice-Sever, Slovakia",4.7,109,auto_parts_store|car_repair|service|point_of_interest|store|establishment,phone-heavy,A,Likely strong phone dependence for fitment and urgent order checks.,Regional local player.,ChIJcVfMl_LgPkcRj_GYfxANiwk,,,,,Ok,I have been shopping at Autosava on Študentská in Košice for a long time. Very helpful staff and good team. Thank you,,,,,,,,,,,,
AUTODIELY SLOVAKIA TEAM,Košice,autodiely,"Južná trieda 48, 040 01 Juh, Slovakia",4.6,43,auto_parts_store|car_repair|service|point_of_interest|store|establishment,phone-heavy,A,Manual support likely concentrated in a small team handling compatibility and stock queries.,Good closability.,ChIJT7jX7ArgPkcRN6Odkk4J0MY,,,,,Super team,They had what I needed.,,,,,,,,,,,,
1autodiely.sk/1olej.sk,Košice,autodiely,"Južná trieda 66/1, 040 01 Košice, Slovakia",4.4,227,auto_parts_store|car_repair|service|point_of_interest|store|establishment,mixed,A,E-shop style operation likely faces repeated pre-purchase and order-status questions.,Strong enrichment candidate.,ChIJJ8RpgWLgPkcRiYToVjvv1j8,http://1autodiely.sk/,,,,Ok,Top,,,,,,,,,,,,
Skoda Car Parts Kosice - GKM PLUS,Košice,autodiely,"Južná trieda 1597/74, 040 01 Košice, Slovakia",4.6,62,auto_parts_store|car_repair|service|point_of_interest|store|establishment,phone-heavy,B,Brand-specific parts increase compatibility questions and manual assistance needs.,Narrower but high-intent support use case.,ChIJVwbj3PnfPkcR_itnKRctL88,http://www.gkmplus.sk/,,,,Ok,Best shop👍😁,050781-133 | 025442454 | 068893215,info@gkmplus.sk,https://gkmplus.sk/kontakt,,https://gkmplus.sk/informacie/formular-na-odstupenie-od-zmluvy,no,,yes,yes,no,yes,3
Ivan Mati - AUTODIELY MG Žilina,Žilina,autodiely,"Bratislavská 533, 010 01 Žilina, Slovakia",4.9,73,auto_parts_store|car_repair|store|point_of_interest|service|establishment,phone-heavy,A,Likely owner-led support around part fit and urgent availability.,Strong local fit.,ChIJPSp9Dh9cFEcRUWr7qox1EHE,http://framdiely.sk/,,,,Ok,super,02998747676 | 09466552734 | 00000000000,framautodiely@gmail.com,https://www.framdiely.sk/kontakt/,,,no,woocommerce,yes,yes,no,no,3
G + K AUTODIELY,Žilina,autodiely,"2, Bánovská cesta 2836, 010 01 Žilina, Slovakia",4.9,24,auto_parts_store|car_repair|store|point_of_interest|service|establishment,phone-heavy,A,Small local operator likely relies on direct phone support for most edge cases.,Very closable.,ChIJgS9QpLleFEcRlUaU2k6W-Ao,,,,,Top 👍👍👍,"I go there regularly for parts, if they don't have something they order it, you can also communicate by phone, even when it was busy they called me back 👍",,,,,,,,,,,,
G+K AUTOSÚČIASTKY - Rudolf Glasnák,Žilina,autodiely,"Bánovská cesta 3648, 01001 Žilina, 010 01 Žilina, Slovakia",4.7,195,auto_parts_store|car_repair|store|point_of_interest|service|establishment,mixed,B,Higher volume local shop likely has repetitive support load across orders and fitment.,Still local enough to test.,ChIJM06zlrheFEcRs1hRN0ojypw,,,,,very good car afterstore,Ok,,,,,,,,,,,,
Autodiely EXZAS ŽILINA,Žilina,autodiely,"Štrková 967, 010 01 Žilina, Slovakia",4.8,21,auto_parts_store|car_repair|store|point_of_interest|service|establishment,phone-heavy,A,Likely small-team phone-heavy support.,Good micro-candidate.,ChIJ7SfSGtFeFEcRuLoaSqT62KI,http://www.exzas.sk/,,,,"If you need something for your car, tractor, or garage... You will find it all at the Bezdedová family EXZAS Žilina. You will not be disappointed. I highly recommend it.👍",Very helpful salesperson.,+421911586866 | +421 911 586 866 | +421 911 586 966,autodielyexzas@gmail.com,http://exzas.sk/?page_id=27,,,no,woocommerce,yes,yes,no,no,3
DoplnkyDoAuta.sk (Panacea),Žilina,auto-prislusenstvo,"Prielohy 693/3, Solinky, 010 07 Žilina, Slovakia",4.4,105,auto_parts_store|car_repair|wholesaler|store|point_of_interest|manufacturer|service|establishment,mixed,B,Accessory fit and product-choice questions likely create support load.,More e-commerce-flavored candidate.,ChIJ-yjTXjJZFEcR54vHBwM715c,http://www.doplnkydoauta.sk/,,,,"Good e-shop and store for car accessories. Delivery times are quite long, but finally reliable. There is an option to call the store and ask about order, personell was friendly and supportive. Recommended.","I have visited this store several times. The staff is always pleasant and, most importantly, they are able to give professional and willing advice. They have a wide range of car accessories right here in the store, so I ",+421 917 909 909 | 0921560-150 | 0812238-150,info@doplnkydoauta.sk,https://doplnkydoauta.sk/kontakt/,,,yes,woocommerce,yes,yes,no,no,4
Car parts Vika,Nitra,autodiely,"Kmeťkova 13, Staré Mesto, 949 01 Nitra, Slovakia",4.7,75,auto_parts_store|car_repair|service|store|point_of_interest|establishment,phone-heavy,A,Likely direct phone handling of compatibility and stock queries.,Local and closable.,ChIJ6w-Uih8_a0cRo0IXitAvuSA,https://autodielyvika.sk/,,,,Super,"Very pleasant, helpful and professional approach, I left very satisfied. I definitely recommend it. Thank you",0948909090 | 056626589 | 0524927137,eshop@autodielyvika.sk | donate@opencart.com,http://autodielyvika.sk/index.php?route=information/contact,,https://autodielyvika.sk/index.php?route=information/information&information_id=8,no,,yes,yes,no,yes,3
AUTO-DIELY-ŠPECIÁL,Nitra,autodiely,"Šípová 11, Chrenová, 949 01 Nitra, Slovakia",5.0,82,auto_parts_store|car_repair|service|store|point_of_interest|establishment,phone-heavy,A,Small operator likely experiences support interruptions from frequent customer questions.,Very strong fit.,ChIJjSaK9cQ-a0cR2TzA820JeuE,http://www.dielynitra.sk/,,,,"He is knowledgeable, helpful, kind and most importantly helpful. I have always been satisfied with the professional approach and fast service. I recommend.",Very helpful gentleman. My wife's oil light came on in her car. She was in Nitra for a few days. I originally wanted her to just buy a liter of oil and top it up. Since I was planning to change the oil at our car mechani,0903 720 353 | 0903 208 425 | 0918 771 056,,https://www.dielynitra.sk/kontakt,,https://www.dielynitra.sk/zarucne-podmienky-a-reklamacny-poriadok,no,,no,yes,no,yes,2
FIFO Auto Ltd.,Nitra,autodiely,"Šípová 2, Chrenová, 949 01 Nitra, Slovakia",4.4,62,auto_parts_store|car_repair|service|store|point_of_interest|establishment,phone-heavy,B,Likely relies on people answering calls for product and order support.,Good local candidate.,ChIJraz1roE8a0cRjnwoxdZaNZ4,https://www.fifoautoshop.sk/,,,,Happy people working here ❤️,Ok,09404017513 | 0903429334 | 095035-269,,https://www.fifoautoshop.sk/Kontakt,https://www.fifoautoshop.sk/kategoria/pomocne-ziarovky,https://www.fifoautoshop.sk/zasady_vratenia_tovaru,yes,,yes,yes,yes,yes,3
AUTOPOTREBY - CHMELÁR,Nitra,auto-prislusenstvo,"13, Bratislavská 2656, 949 01 Nitra, Slovakia",4.5,51,auto_parts_store|car_repair|service|store|point_of_interest|establishment,mixed,B,Accessory and parts support likely split between phone and in-person queries.,Smaller support-heavy profile.,ChIJqY6HtRY_a0cR-5xOVPvBiy0,http://www.chmelar.sk/,,,,That is good store with very kind personal. 😁,Ok,055569037 | +421 917 988 668 | 0046689-3061,jmeno@domena.tld | info@autopotreby.sk,https://www.autopotreby.sk/kontakty/,https://www.autopotreby.sk/naradie-a-vybavenie-garaze/ochranne-pomocky/,https://www.autopotreby.sk/reklamacny-poriadok/,no,,yes,yes,yes,yes,3
Autobenex Nitra,Nitra,autodiely,"Cabajská 3, 949 01 Nitra, Slovakia",4.7,32,auto_parts_store|car_repair|service|store|point_of_interest|establishment,phone-heavy,A,Small review footprint suggests a smaller team where missed calls matter more.,High closability.,ChIJR6mKb0I-a0cRWizVwRHx-bI,http://www.autobenex.sk/,,,,Superb,Super,077704052 | +421 376 517 722 | +421 918 897 587,nitra@autobenex.sk | trencin@autobenex.sk | zvolen@autobenex.sk,http://www.autobenex.sk/kontakty.html,,,no,,no,yes,no,no,3
Autodiely DODO,Trnava,autodiely,"Trstínska cesta 9, 917 01 Trnava, Slovakia",4.8,22,auto_parts_store|car_repair|store|service|point_of_interest|establishment,phone-heavy,A,Likely highly manual support operation.,Good small-firm candidate.,ChIJWdASmZKgbEcRgD7QOSyliFw,,,,,Super,Excellent store Wide range of goods Quality service No problem with ordering goods Recommended,,,,,,,,,,,,
Norbert Rašlík - Autosúčiastky,Trnava,autodiely,"Jerichova 917 01, 917 01 Trnava, Slovakia",4.7,58,car_rental|store|service|point_of_interest|establishment,phone-heavy,B,Likely local operator with direct customer handling and little automation.,Worth enrichment.,ChIJTwk1u4OgbEcRLBznuwAQHzI,,,,,Supeeer,Top,,,,,,,,,,,,
AUTOPOTREBY - CHMELÁR,Trnava,auto-prislusenstvo,"5, Nitrianska 5505, 917 54 Trnava, Slovakia",4.5,42,auto_parts_store|car_repair|store|service|point_of_interest|establishment,mixed,B,"Likely repetitive support around fit, stock, and pick-up.",Regional candidate.,ChIJg0bFV5pfa0cR0ny7aKbjNoQ,http://www.chmelar.sk/,,,,Super,"A very helpful gentleman with a beautiful smile and a kind heart, he is not only a salesman but also a person with a big heart, he is willing to advise and even if something doesn't fit and it is found out later, he runs",055569037 | +421 917 988 668 | 0046689-3061,jmeno@domena.tld | info@autopotreby.sk,https://www.autopotreby.sk/kontakty/,https://www.autopotreby.sk/naradie-a-vybavenie-garaze/ochranne-pomocky/,https://www.autopotreby.sk/reklamacny-poriadok/,no,,yes,yes,yes,yes,3
G+K Autodiely,Trenčín,autodiely,"Zlatovská 1279, Zlatovce, 911 05 Trenčín, Slovakia",4.8,43,auto_parts_store|car_repair|store|service|point_of_interest|establishment,phone-heavy,A,Smaller local shop likely depends on direct call handling.,Strong fit.,ChIJY7t1fpehFEcRMdJZthl48PQ,,,,,Ok,Knowledgeable staff.,,,,,,,,,,,,
